,Nome,Sexo,CPF,Idade,Email,Nota Enem,CRA2,CRA4,CRA6,Abandonou,Semestre Abandonou
0,Maria Cecília Nascimento,Feminino,976.025.483-29,21,tcavalcanti@example.com,679,5.23,7.74,7.94,False,
1,Isis da Luz,Feminino,523.094.178-23,24,eloahdias@example.net,798,6.73,,,True,3.0
2,Luna da Conceição,Feminino,507.263.914-25,28,melissa93@example.org,675,6.58,,,True,3.0
3,Dra. Isadora Souza,Feminino,084.139.762-78,22,gustavo-henrique05@example.org,698,8.84,5.03,7.82,False,
4,Levi Barros,Masculino,950.426.817-01,22,opires@example.org,669,6.0,,,True,3.0
5,Thiago Cavalcanti,Masculino,081.364.792-40,27,marianeduarte@example.com,663,9.13,6.39,8.67,False,
6,Heloísa Ramos,Feminino,975.342.806-56,25,sophia63@example.org,692,8.47,8.04,8.09,False,
7,Pietra Sales,Feminino,075.983.614-01,23,wsales@example.com,688,,,,True,1.0
8,Bryan Rodrigues,Masculino,491.062.378-78,27,barrosluiz-felipe@example.com,729,5.36,6.21,9.91,False,
9,Enzo Gabriel Gonçalves,Masculino,841.670.529-11,25,pedro-lucas91@example.net,779,9.93,,,True,3.0
10,Bruna Pires,Feminino,816.903.427-22,26,brunoda-costa@example.com,755,9.1,9.76,,True,5.0
11,Gabrielly da Cruz,Feminino,829.305.746-74,26,anacunha@example.net,778,6.67,8.84,5.08,False,
12,Cauê Dias,Masculino,159.643.278-00,23,xcastro@example.com,728,9.24,8.32,,True,6.0
13,Rafaela Castro,Feminino,412.097.635-16,26,teixeiraeloah@example.org,666,7.68,5.36,,True,6.0
14,Melissa Ramos,Feminino,481.530.926-42,20,qmartins@example.org,698,5.28,8.03,5.46,False,
15,Ana Sophia Nogueira,Feminino,982.153.476-73,22,wnogueira@example.org,774,7.18,5.44,7.94,False,
16,Elisa Rocha,Feminino,819.653.742-55,26,alexandre24@example.org,699,8.03,8.32,9.78,False,
17,Cauã Fogaça,Masculino,985.317.240-23,19,fogacaemanuelly@example.net,726,9.71,9.6,7.16,False,
